label,diff,nombre_archivo,ruta_completa,carpeta,grupo,id_registro,id_global
Feb-25,-0.076,ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo\ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo,MENSUAL,4,81
Mar-25,-0.015,ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo\ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo,MENSUAL,5,82
Apr-25,-0.036,ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo\ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo,MENSUAL,6,83
May-25,0.04,ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo\ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo,MENSUAL,7,84
Jun-25,0.001,ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo\ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo,MENSUAL,8,85
Jul-25,0.025,ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo\ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo,MENSUAL,9,86
Aug-25,-0.006,ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo\ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo,MENSUAL,10,87
Sep-25,0.005,ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo\ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo,MENSUAL,11,88
Nov-24,-0.037,ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña\ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña,MENSUAL,1,89
Dec-24,-0.044,ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña\ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña,MENSUAL,2,90
Jan-25,-0.042,ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña\ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña,MENSUAL,3,91
Feb-25,-0.036,ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña\ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña,MENSUAL,4,92
Mar-25,0.033,ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña\ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña,MENSUAL,5,93
Apr-25,0.014,ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña\ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña,MENSUAL,6,94
May-25,0.043,ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña\ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña,MENSUAL,7,95
Jun-25,-0.011,ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña\ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña,MENSUAL,8,96
Jul-25,0.06,ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña\ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña,MENSUAL,9,97
Aug-25,0.041,ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña\ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña,MENSUAL,10,98
Sep-25,0.043,ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña\ee-chart Parque Begoña Diferencia mensual NDVI.csv,Parque Begoña,MENSUAL,11,99
Nov-24,0.038,ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero\ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero,MENSUAL,1,100
Dec-24,-0.03,ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero\ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero,MENSUAL,2,101
Jan-25,-0.005,ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero\ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero,MENSUAL,3,102
Feb-25,-0.035,ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero\ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero,MENSUAL,4,103
Mar-25,0.007,ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero\ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero,MENSUAL,5,104
Apr-25,-0.033,ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero\ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero,MENSUAL,6,105
May-25,0.018,ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero\ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero,MENSUAL,7,106
Jun-25,-0.035,ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero\ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero,MENSUAL,8,107
Jul-25,0.029,ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero\ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero,MENSUAL,9,108
